Timestamp,instructions,cpu-cycles
    26.149254540,35563,238471
    26.249544295,35121,251566
    26.349745036,47201,359933
    26.449912165,35037,101398
    26.550130580,35328,288366
    26.650383433,35348,270999
    26.750650408,35283,255813
    26.850941442,60280,296167
    26.951221932,35125,268865
    27.051478925,111511,480943
    27.151828763,59549,312843
    27.252051575,161855373,78086053
    27.352207877,809134253,711953212
    27.452375699,1000023569,898541370
    27.552508435,405833457,169841923
    27.652644906,415273638,169848572
    27.752789040,404683560,172865057
    27.852943816,689889921,521372025
    27.953103774,1127875711,916240945
    28.053238274,416193379,169843570
    28.153374966,417033569,169849394
    28.253531171,395647767,173156575
    28.353683139,1134809746,1097494698
    28.453916978,694081124,514376863
    28.554044224,403734434,169830734
    28.654180782,417370561,169847732
    28.754326974,390817525,172807073
    28.854483069,1076556652,1017438385
    28.954637101,755254963,595443627
    29.054777505,415572791,169852401
    29.154918039,417474522,169855756
    29.255051911,262101964,119775500
    29.325676103,41279990,41148853
